query_name,plan_size,true_cost,compass_est,psql_est,plan
12b,7,7705,46271,87,"['t', 'mi_idx', 'it2', 'mc', 'ct', 'mi', 'it1']"
12c,7,34374,66064,113,"['mi_idx', 'it2', 't', 'mi', 'it1', 'mc', 'ct']"
13a,8,2092569,2633172,9363,"['mc', 'ct', 'cn', 't', 'kt', 'mi_idx', 'it1', 'mi']"
13b,8,6179,16777,8,"['t', 'kt', 'mi_idx', 'it1', 'mi', 'it2', 'mc', 'cn']"
13c,8,1622,7838,8,"['t', 'kt', 'mi_idx', 'it1', 'mi', 'it2', 'mc', 'cn']"
13d,8,14754364,2541950,13039,"['t', 'kt', 'mi_idx', 'it1', 'mc', 'ct', 'mi', 'it2']"
14a,7,2740,3227,18,"['mi_idx', 'it2', 't', 'kt', 'mi', 'mk', 'k']"
14b,7,3092,39283,6,"['kt', 't', 'mi', 'mk', 'mi_idx', 'it2', 'k']"
14c,7,10879,4772,21,"['mi_idx', 'it2', 't', 'kt', 'mi', 'mk', 'k']"
15a,8,4032,5197858,7,"['mi', 'it', 'att', 't', 'mk', 'mc', 'cn', 'ct']"
15b,8,3200,939548,7,"['mi', 'it', 'att', 't', 'mk', 'mc', 'cn', 'ct']"
15c,8,11792,131594283,7,"['mi', 'it', 'att', 't', 'mc', 'mk', 'k', 'ct']"
15d,8,86485,100586087,117,"['mi', 'it', 't', 'att', 'mc', 'mk', 'cn', 'ct']"
16a,7,42773,295379914,35,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'an']"
16b,7,5965658,1382270265,281,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'n']"
16c,7,610251,1119088943,172,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'an']"
16d,7,401198,2457557162,86,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'n']"
17a,6,3133103,151858739,175,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
17b,6,8177710,73446221,377,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
17c,6,8177710,73446221,377,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
17d,6,8177710,73446221,377,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
17e,6,3133103,151846512,175,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
17f,6,8177710,73446221,377,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
18a,6,106307,152577743,149,"['ci', 'n', 'mi_idx', 'it2', 't', 'mi']"
18b,6,3517,536318,24,"['mi_idx', 'it2', 'mi', 't', 'ci', 'n']"
18c,6,837644,457368,2427,"['mi', 'it1', 't', 'mi_idx', 'it2', 'ci']"
19a,9,2780,386074619,19,"['ci', 'n', 'rt', 'an', 'mi', 't', 'mc', 'cn', 'chn']"
19b,9,258,263217,8,"['t', 'mi', 'mc', 'ci', 'rt', 'n', 'an', 'chn', 'it']"
19c,9,48847,7071066978,1174,"['ci', 'n', 'rt', 'an', 'mi', 't', 'mc', 'cn', 'chn']"
19d,9,15269518,52315004338,3270,"['ci', 'rt', 'n', 'an', 't', 'mc', 'cn', 'mi', 'it']"
20a,9,90911217,135113,113,"['cc', 'cct2', 'cct1', 't', 'kt', 'ci', 'mk', 'k', 'n']"
20b,9,42012700,135113,113,"['cc', 'cct2', 'cct1', 't', 'kt', 'ci', 'mk', 'k', 'n']"
20c,9,42169843,135113,113,"['cc', 'cct2', 'cct1', 't', 'kt', 'ci', 'mk', 'k', 'n']"
21a,8,18873,13503,31,"['mk', 'k', 'ml', 'lt', 'mc', 't', 'mi', 'ct']"
21b,8,12001,24630,31,"['mk', 'k', 'mi', 't', 'ml', 'lt', 'mc', 'ct']"
21c,8,22033,13733,31,"['mk', 'k', 'ml', 'lt', 'mc', 't', 'mi', 'ct']"
22a,10,43440,52381,88,"['mk', 'k', 'mi_idx', 't', 'mc', 'ct', 'cn', 'it2', 'kt', 'mi']"
22b,10,38172,43503,88,"['mk', 'k', 'mi_idx', 't', 'mi', 'it2', 'mc', 'ct', 'cn', 'kt']"
22c,10,7693,18009,22,"['mi_idx', 'it2', 'mc', 't', 'kt', 'cn', 'ct', 'mk', 'mi', 'it1']"
22d,10,236308,47360,24,"['mi_idx', 'it2', 't', 'kt', 'mc', 'mk', 'mi', 'it1', 'ct', 'cn']"
23a,10,4721,395535,9,"['mi', 'it', 'cc', 't', 'kt', 'mc', 'mk', 'k', 'cn', 'ct']"
23b,10,2664,11021,9,"['mi', 'it', 'cc', 't', 'kt', 'mc', 'mk', 'k', 'cn', 'ct']"
23c,10,5512,418012,9,"['mi', 'it', 'cc', 't', 'kt', 'mc', 'mk', 'k', 'cn', 'ct']"
24a,11,76201,324133765,76,"['mk', 'k', 't', 'mi', 'mc', 'it', 'ci', 'n', 'an', 'cn', 'chn']"
24b,11,5521,120762,12,"['t', 'mi', 'ci', 'mc', 'mk', 'cn', 'k', 'it', 'chn', 'rt', 'n']"
25a,8,168502,90942344,112,"['mk', 'k', 'mi', 't', 'mi_idx', 'ci', 'n', 'it2']"
25b,8,183,1600324,7,"['t', 'mi', 'ci', 'mi_idx', 'mk', 'k', 'it2', 'n']"
25c,8,684146,694436,220,"['mk', 'k', 'mi', 'it1', 't', 'mi_idx', 'ci', 'n']"
26a,11,3882274,155048,115,"['cc', 'cct2', 'cct1', 'mi_idx', 't', 'kt', 'it', 'ci', 'mk', 'k', 'chn']"
26b,11,94810,16368444,35,"['mi_idx', 'it', 't', 'kt', 'cc', 'mk', 'ci', 'chn', 'cct2', 'n', 'k']"
26c,11,42166575,135114,115,"['cc', 'cct2', 'cct1', 'mi_idx', 't', 'kt', 'it', 'ci', 'mk', 'k', 'chn']"
27a,11,105402,506505,34,"['mk', 'k', 'ml', 'lt', 't', 'mc', 'ct', 'cc', 'cct1', 'cct2', 'cn']"
27b,11,11596,13242,29,"['mk', 'k', 't', 'ml', 'lt', 'cc', 'cct1', 'cct2', 'mc', 'ct', 'cn']"
27c,11,973024,14355,34,"['mk', 'k', 'ml', 'lt', 't', 'mc', 'cn', 'cc', 'cct1', 'ct', 'cct2']"
28a,13,59941,5034,25,"['it2', 'mi_idx', 'mc', 'mi', 't', 'cc', 'kt', 'cct1', 'ct', 'cct2', 'cn', 'mk', 'k']"
28b,13,20269,596388,105,"['it2', 'mi_idx', 'mi', 't', 'mk', 'it1', 'mc', 'cc', 'kt', 'cct2', 'k', 'cct1', 'cn']"
28c,13,10094,16682,25,"['it2', 'mi_idx', 'mc', 'mk', 'cc', 't', 'cct1', 'cn', 'kt', 'ct', 'cct2', 'mi', 'k']"
30a,11,239382,569161,173,"['mk', 'k', 'mi', 'it1', 't', 'mi_idx', 'cc', 'ci', 'n', 'it2', 'cct2']"
30b,11,436822,15368,14,"['t', 'mi', 'cc', 'ci', 'mi_idx', 'it2', 'cct2', 'it1', 'cct1', 'n', 'mk']"
30c,11,2000000,699038,223,"['mk', 'k', 'mi', 'mi_idx', 'ci', 'cc', 't', 'n', 'it2', 'it1', 'cct2']"
31a,10,1113659,210882,172,"['mk', 'k', 'mi', 'it1', 't', 'ci', 'mi_idx', 'mc', 'cn', 'it2']"
31b,10,11916,1163544,9,"['t', 'mc', 'ci', 'mi', 'mi_idx', 'mk', 'k', 'it2', 'cn', 'it1']"
31c,10,355491,806917,211,"['mc', 'cn', 'mi', 'it1', 't', 'mi_idx', 'ci', 'mk', 'k', 'it2']"
33a,13,63454,634734362,36,"['lt', 'ml', 't2', 'mc2', 'mc1', 'cn2', 'cn1', 'kt2', 't1', 'kt1', 'mi_idx2', 'it2', 'mi_idx1']"
33b,13,12879,24063672683,35,"['lt', 'ml', 't2', 'mc2', 'mc1', 'cn2', 'cn1', 'kt2', 'mi_idx1', 'mi_idx2', 't1', 'it2', 'kt1']"
33c,13,45222,86214,40,"['lt', 'ml', 't2', 'kt2', 'mc1', 'mi_idx1', 'it1', 't1', 'mc2', 'kt1', 'cn1', 'cn2', 'mi_idx2']"
29a,16,28084,283728,15,"['chn', 'ci', 'an', 't', 'mc', 'mi', 'cn', 'mk', 'cc', 'cct2', 'rt', 'it1', 'k', 'pi', 'n', 'it2']"
29b,16,13393,202338,15,"['chn', 'ci', 'an', 't', 'mc', 'mi', 'cn', 'mk', 'cc', 'cct2', 'rt', 'it1', 'k', 'pi', 'n', 'it2']"
29c,16,2124698,3057718,41,"['k', 'mk', 't', 'cc', 'mi', 'mc', 'cn', 'cct1', 'cct2', 'ci', 'pi', 'an', 'it1', 'n', 'it2', 'chn']"
